name,arrondissement,address,url,latitude,longitude,lambert93_x,lambert93_y
Hangar Türkü,10,"Hangar Türkü, 29 rue d’Enghien - 75010 Paris 10",https://www.kebab-frites.com/kebab/hangar-turku-paris-10.html,48.872005,2.35051,652359.115,6863749.191
Pizza Zizou,14,"Pizza Zizou, 1 rue Francis de Préssencé - 75014 Paris 14",https://www.kebab-frites.com/kebab/pizza-zizou-paris-14.html,48.834171,2.316182,649804.744,6859563.669
Mac Doner,11,"Mac Doner, 49 boulevard Voltaire - 75011 Paris 11",https://www.kebab-frites.com/kebab/mac-doner-paris-11.html,48.862431,2.372673,653976.305,6862671.490
Restaurant Burkay,11,"Restaurant Burkay, 41 rue Timbaud - 75011 Paris 11",https://www.kebab-frites.com/kebab/restaurant-burkay-paris-11.html,48.866614,2.373039,654006.849,6863136.394
Grec Doner Kebab,19,"Grec Doner Kebab, 253 rue de Belleville - 75019 Paris 19",https://www.kebab-frites.com/kebab/grec-doner-kebab-paris-19.html,48.875555,2.398147,655856.285,6864116.241
Ankara,18,"Ankara, 29 boulevard ornano - 75018 Paris 18",https://www.kebab-frites.com/kebab/ankara-paris-18.html,48.894028,2.347399,652151.164,6866199.895
Mac Doner,6,"Mac Doner, 112 Bis Rue De Rennes - 75006 Paris 06",https://www.kebab-frites.com/kebab/mac-doner-paris-06.html,48.847696,2.327371,650638.856,6861060.451
Mac doner,18,"Mac doner, 14 avenue de clichy - 75018 Paris 18",https://www.kebab-frites.com/kebab/mac-doner-paris-18.html,48.884637,2.327083,650652.727,6865168.172
Restaurant Delicious,20,"Restaurant Delicious, 62 Rue d'Avron - 75020 Paris 20",https://www.kebab-frites.com/kebab/restaurant-delicious-paris-20.html,48.852166,2.403634,656239.087,6861512.504
Chicken Point's,9,"Chicken Point's, 32 Boulevard de Clichy - 75009 Paris 09",https://www.kebab-frites.com/kebab/chicken-points-paris-09.html,48.882359,2.33667,651353.629,6864908.924
Suite Au Kebab,3,"Suite Au Kebab, 7 Rue des Arquebusiers - 75003 Paris 03",https://www.kebab-frites.com/kebab/suite-au-kebab-paris-03.html,48.859175,2.366751,653538.945,6862312.917
Chicken Hot,10,"Chicken Hot, 91 boulevard Magenta - 75010 Paris 10",https://www.kebab-frites.com/kebab/chicken-hot-paris-10.html,48.877719,2.354522,652658.587,6864382.136
Cambronne Express,15,"Cambronne Express, 4 boulevard Garibaldi - 75015 Paris 15",https://www.kebab-frites.com/kebab/cambronne-express-paris-15.html,48.847461,2.302415,648807.266,6861050.211
Food House,13,"Food House, 46 avenue d'italie - 75013 Paris 13",https://www.kebab-frites.com/kebab/food-house-paris-13.html,48.828035,2.356406,652751.734,6858856.597
Les Frangins,17,"Les Frangins, 27 Boulevard Bessieres - 75017 Paris 17",https://www.kebab-frites.com/kebab/les-frangins-paris-17.html,48.89737,2.325891,650577.403,6866584.757
La Croisette,19,"La Croisette, 68 avenue de flandre - 75019 Paris 19",https://www.kebab-frites.com/kebab/la-croisette-paris-19.html,48.888726,2.37475,654151.833,6865594.113
Restaurant Hunkar,20,"Restaurant Hunkar, 16 rue de Ménilmontant - 75020 Paris 20",https://www.kebab-frites.com/kebab/restaurant-hunkar-paris-20.html,48.867346,2.384571,654853.441,6863211.132
Le délice d'Istanbul,13,"Le délice d'Istanbul, 7 bis avenue d italie - 75013 Paris 13",https://www.kebab-frites.com/kebab/le-delice-distanbul-paris-13.html,48.829864,2.356408,652753.539,6859059.959
Fast Balard,15,"Fast Balard, 147 avenue Félix Faure - 75015 Paris 15",https://www.kebab-frites.com/kebab/fast-balard-paris-15.html,48.837045,2.279211,647093.900,6859907.361
Fournil St Jacques,14,"Fournil St Jacques, 11 rue de la Tombe Issoire - 75014 Paris 14",https://www.kebab-frites.com/kebab/fournil-st-jacques-paris-14.html,48.832517,2.335768,651240.861,6859367.490
Doner Kebab,5,"Doner Kebab, 17 Rue du Val de Grace - 75005 Paris 05",https://www.kebab-frites.com/kebab/doner-kebab-paris-05.html,48.841415,2.338755,651468.407,6860355.011
L'Authentique Panini,15,"L'Authentique Panini, 399 Rue de Vaugirard - 75015 Paris 15",https://www.kebab-frites.com/kebab/lauthentique-panini-paris-15.html,48.833454,2.289725,647862.017,6859501.090
Fallafel Chatelet,1,"Fallafel Chatelet, 93 Rue Saint-Denis - 75001 Paris 01",https://www.kebab-frites.com/kebab/fallafel-chatelet-paris-01.html,48.86226300,2.34932800,652263.489,6862666.670
L'étoile,15,"L'étoile, 220 Rue de la Convention - 75015 Paris 15",https://www.kebab-frites.com/kebab/letoile-paris-15.html,48.836424,2.298838,648533.875,6859825.341
L'original,18,"L'original, 69 rue Ordener - 75018 Paris 18",https://www.kebab-frites.com/kebab/loriginal-paris-18.html,48.891341,2.350225,652355.903,6865899.406
Kebab trinité,9,"Kebab trinité, 5 place d'Estienne d'Orves - 75009 Paris 09",https://www.kebab-frites.com/kebab/kebab-trinite-paris-09.html,48.876839,2.330713,650911.571,6864298.823
Grenelle Sandwich,15,"Grenelle Sandwich, 105 bis Boulevard de Grenelle - 75015 Paris 15",https://www.kebab-frites.com/kebab/grenelle-sandwich-paris-15.html,48.849485,2.297308,648434.498,6861278.583
Le Pacha Grill,12,"Le Pacha Grill, 120 cours de Vincennes - 75012 Paris 12",https://www.kebab-frites.com/kebab/le-pacha-grill-paris-12.html,48.846701,2.41062,656747.169,6860900.996
King Falafel Palace,4,"King Falafel Palace, 24 rue des Rosiers - 75004 Paris 04",https://www.kebab-frites.com/kebab/king-falafel-palace-paris-04.html,48.857146,2.359597,653012.243,6862091.543
Le palais du sandwich,14,"Le palais du sandwich, 137 rue d'Alèsia - 75014 Paris 14",https://www.kebab-frites.com/kebab/le-palais-du-sandwich-paris-14.html,48.829562,2.321614,650199.064,6859047.762
Snack Time,18,"Snack Time, 96 boulevard de Rochechouart - 75018 Paris 18",https://www.kebab-frites.com/kebab/snack-time-paris-18.html,48.88267,2.342041,651747.799,6864940.210
Chez Kelal,17,"Chez Kelal, 141 Avenue de Clichy - 75017 Paris 17",https://www.kebab-frites.com/kebab/chez-kelal-paris-17.html,48.890907,2.319379,650093.790,6865870.201
Paristanbul,11,152 Rue du Chemin Vert - 75011 Paris 11,https://www.kebab-frites.com/kebab/paristanbul-paris-11.html,48.8627001,2.3869148,655021.363,6862693.205
