id_mutation,date_mutation,longitude,latitude,num_ordre,C_QUINSEE,C_QU,C_AR,L_QU
2018-1427707,2018-01-18,2.403976,48.86658,1,7512002,78,20,Saint-Fargeau
2018-1427708,2018-01-18,2.380516,48.875636,1,7511904,76,19,Combat
2018-1427709,2018-01-18,2.384106,48.88563,1,7511903,75,19,Amérique
2018-1427710,2018-01-24,2.396411,48.857187,1,7512003,79,20,Père-Lachaise
2018-1427711,2018-01-15,2.400712,48.862184,1,7512003,79,20,Père-Lachaise
2018-1427712,2018-01-19,2.401036,48.852966,1,7512004,80,20,Charonne
2018-1427713,2018-01-10,2.380153,48.892196,1,7511902,74,19,Pont-de-Flandre
2018-1427714,2018-01-08,2.388699,48.883203,1,7511903,75,19,Amérique
2018-1427715,2018-01-23,2.394611,48.883497,1,7511903,75,19,Amérique
2018-1427717,2018-01-31,2.383165,48.874937,1,7511904,76,19,Combat
2018-1427718,2018-01-16,2.374395,48.891278,1,7511901,73,19,Villette
2018-1427719,2018-01-29,2.392437,48.864339,1,7512003,79,20,Père-Lachaise
2018-1427720,2018-01-26,2.404583,48.874863,1,7512002,78,20,Saint-Fargeau
2018-1427721,2018-02-01,2.38645,48.871625,1,7512001,77,20,Belleville
2018-1427722,2018-01-29,2.399472,48.868193,1,7512003,79,20,Père-Lachaise
2018-1427723,2018-01-30,2.408636,48.849382,1,7512004,80,20,Charonne
2018-1427724,2018-02-06,2.403455,48.852544,1,7512004,80,20,Charonne
2018-1427725,2018-01-29,2.383055,48.876113,1,7511904,76,19,Combat
2018-1427728,2018-02-06,2.376709,48.888613,1,7511901,73,19,Villette
2018-1427729,2018-01-12,2.397478,48.873172,1,7512002,78,20,Saint-Fargeau
2018-1427730,2018-01-25,2.382923,48.888432,1,7511901,73,19,Villette
2018-1427731,2018-01-26,2.395703,48.868081,1,7512003,79,20,Père-Lachaise
2018-1427732,2018-02-05,2.384036,48.897228,1,7511902,74,19,Pont-de-Flandre
2018-1427734,2018-01-25,2.37452,48.882617,1,7511901,73,19,Villette
2018-1427736,2018-02-01,2.404895,48.867503,1,7512002,78,20,Saint-Fargeau
2018-1427737,2018-01-31,2.381972,48.889029,1,7511901,73,19,Villette
2018-1427738,2018-02-07,2.378537,48.873523,1,7511904,76,19,Combat
2018-1427739,2018-02-06,2.398288,48.868876,1,7512003,79,20,Père-Lachaise
2018-1427741,2018-02-07,2.377781,48.88443,1,7511901,73,19,Villette
2018-1427742,2018-01-12,2.39548,48.856499,1,7512004,80,20,Charonne
2018-1427743,2018-02-08,2.399249,48.866077,1,7512003,79,20,Père-Lachaise
2018-1427744,2018-01-17,2.38301,48.890943,1,7511902,74,19,Pont-de-Flandre
2018-1427745,2018-02-09,2.370769,48.890985,1,7511901,73,19,Villette
2018-1427746,2018-02-06,2.40293,48.857482,1,7512004,80,20,Charonne
2018-1427747,2018-01-16,2.38089,48.884509,1,7511904,76,19,Combat
2018-1427748,2018-02-08,2.3919,48.875684,1,7511903,75,19,Amérique
2018-1427749,2018-01-30,2.389072,48.881604,1,7511903,75,19,Amérique
2018-1427749,2018-01-30,2.389072,48.881604,2,7511903,75,19,Amérique
2018-1427750,2018-01-31,2.379972,48.874433,1,7511904,76,19,Combat
2018-1427751,2018-01-30,2.388759,48.882218,1,7511903,75,19,Amérique
2018-1427753,2018-01-16,2.386337,48.864351,1,7512003,79,20,Père-Lachaise
2018-1427754,2018-01-15,2.397114,48.880173,1,7511903,75,19,Amérique
2018-1427755,2018-01-30,2.390441,48.87336,1,7512001,77,20,Belleville
2018-1427757,2018-02-12,2.407364,48.86754,1,7512002,78,20,Saint-Fargeau
2018-1427758,2018-02-12,2.407757,48.869582,1,7512002,78,20,Saint-Fargeau
2018-1427760,2018-01-30,2.376816,48.891808,1,7511901,73,19,Villette
2018-1427765,2018-02-01,2.392187,48.887117,1,7511903,75,19,Amérique
2018-1427766,2018-01-19,2.381957,48.876299,1,7511904,76,19,Combat
2018-1427767,2018-01-23,2.380697,48.888516,1,7511901,73,19,Villette
2018-1427768,2018-02-02,2.394275,48.871916,1,7512001,77,20,Belleville
2018-1427769,2018-01-25,2.402707,48.8485,1,7512004,80,20,Charonne
2018-1427770,2018-01-24,2.377853,48.875801,1,7511904,76,19,Combat
2018-1427771,2018-02-12,2.36815,48.886003,1,7511901,73,19,Villette
2018-1427773,2018-01-29,2.385969,48.871812,1,7512001,77,20,Belleville
2018-1427774,2018-01-17,2.385433,48.876165,1,7511904,76,19,Combat
2018-1427775,2018-02-12,2.378537,48.873523,1,7511904,76,19,Combat
2018-1427777,2018-01-31,2.403431,48.856139,1,7512004,80,20,Charonne
2018-1427779,2018-02-09,2.391326,48.886402,1,7511903,75,19,Amérique
2018-1427780,2018-02-07,2.366657,48.885986,1,7511901,73,19,Villette
2018-1427781,2018-01-15,2.392968,48.886879,1,7511903,75,19,Amérique
2018-1427782,2018-01-31,2.381519,48.877007,1,7511904,76,19,Combat
2018-1427783,2018-01-11,2.400029,48.854588,1,7512004,80,20,Charonne
2018-1427784,2018-01-31,2.388759,48.882218,1,7511903,75,19,Amérique
2018-1427785,2018-01-11,2.395707,48.868826,1,7512003,79,20,Père-Lachaise
2018-1427786,2018-01-19,2.40293,48.857482,1,7512004,80,20,Charonne
2018-1427789,2018-02-05,2.374297,48.890276,1,7511901,73,19,Villette
2018-1427791,2018-01-31,2.399091,48.857161,1,7512004,80,20,Charonne
2018-1427792,2018-01-22,2.397255,48.877984,1,7511903,75,19,Amérique
2018-1427793,2018-01-31,2.4036,48.856812,1,7512004,80,20,Charonne
2018-1427795,2018-01-05,2.407247,48.853213,1,7512004,80,20,Charonne
2018-1427796,2018-02-05,2.396411,48.857187,1,7512003,79,20,Père-Lachaise
2018-1427797,2018-01-30,2.39069,48.887932,1,7511903,75,19,Amérique
2018-1427798,2018-02-01,2.395905,48.857153,1,7512003,79,20,Père-Lachaise
2018-1427799,2018-01-17,2.384106,48.88563,1,7511903,75,19,Amérique
2018-1427800,2018-02-06,2.37479,48.888604,1,7511901,73,19,Villette
2018-1427802,2018-01-29,2.400128,48.876082,1,7511903,75,19,Amérique
2018-1427805,2018-02-07,2.368659,48.889799,1,7511901,73,19,Villette
2018-1427806,2018-01-30,2.391809,48.877252,1,7511903,75,19,Amérique
2018-1427807,2018-02-13,2.403583,48.871242,1,7512002,78,20,Saint-Fargeau
2018-1427808,2018-02-09,2.399528,48.862556,1,7512003,79,20,Père-Lachaise
2018-1427809,2018-02-12,2.382687,48.874669,1,7511904,76,19,Combat
2018-1427810,2018-02-08,2.378362,48.890388,1,7511901,73,19,Villette
2018-1427811,2018-01-22,2.397589,48.864296,1,7512003,79,20,Père-Lachaise
2018-1427812,2018-02-02,2.408002,48.868237,1,7512002,78,20,Saint-Fargeau
2018-1427813,2018-01-31,2.37814,48.890476,1,7511901,73,19,Villette
2018-1427814,2018-02-09,2.396681,48.872084,1,7512002,78,20,Saint-Fargeau
2018-1427815,2018-01-19,2.384996,48.892747,1,7511902,74,19,Pont-de-Flandre
2018-1427816,2018-01-30,2.399766,48.848683,1,7512004,80,20,Charonne
2018-1427817,2018-01-23,2.400128,48.876082,1,7511903,75,19,Amérique
2018-1427818,2018-02-09,2.404862,48.872174,1,7512002,78,20,Saint-Fargeau
2018-1427819,2018-01-30,2.384106,48.88563,1,7511903,75,19,Amérique
2018-1427820,2018-01-22,2.386427,48.875033,1,7511904,76,19,Combat
2018-1427821,2018-02-06,2.403817,48.851722,1,7512004,80,20,Charonne
2018-1427822,2018-02-12,2.376616,48.891283,1,7511901,73,19,Villette
2018-1427823,2018-02-14,2.406394,48.852209,1,7512004,80,20,Charonne
2018-1427824,2018-02-09,2.377159,48.876695,1,7511904,76,19,Combat
2018-1427825,2018-02-05,2.387518,48.872036,1,7512001,77,20,Belleville
2018-1427827,2018-01-24,2.384175,48.886842,1,7511901,73,19,Villette
2018-1427828,2018-01-19,2.405847,48.868551,1,7512002,78,20,Saint-Fargeau
2018-1427829,2018-02-01,2.391395,48.879191,1,7511903,75,19,Amérique
2018-1427830,2018-01-25,2.392341,48.872434,1,7512001,77,20,Belleville
2018-1427832,2018-02-01,2.375136,48.888664,1,7511901,73,19,Villette
2018-1427833,2018-02-14,2.386342,48.88624,1,7511903,75,19,Amérique
2018-1427834,2018-02-06,2.403264,48.872381,1,7512002,78,20,Saint-Fargeau
2018-1427835,2018-01-31,2.389307,48.878532,1,7511903,75,19,Amérique
2018-1427836,2018-02-05,2.379795,48.874651,1,7511904,76,19,Combat
2018-1427836,2018-02-05,2.379795,48.874651,2,7511904,76,19,Combat
2018-1427837,2018-01-29,2.379117,48.887083,1,7511901,73,19,Villette
2018-1427838,2018-01-29,2.398499,48.864027,1,7512003,79,20,Père-Lachaise
2018-1427839,2018-02-08,2.40185,48.853015,1,7512004,80,20,Charonne
2018-1427840,2018-02-09,2.400254,48.851963,1,7512004,80,20,Charonne
2018-1427840,2018-02-09,2.400254,48.851963,2,7512004,80,20,Charonne
2018-1427842,2018-02-05,2.379795,48.874651,1,7511904,76,19,Combat
2018-1427843,2018-02-16,2.402188,48.868849,1,7512002,78,20,Saint-Fargeau
2018-1427844,2018-02-15,2.392212,48.868976,1,7512003,79,20,Père-Lachaise
